id,text,category_label,category_name
1,昨日届いた商品が破損していました。交換対応をお願いします。,C1,クレーム
2,アプリが頻繁に落ちてしまい、まともに使えません。原因を教えてください。,C1,クレーム
3,サーバーエラーでログインできず、とても困っています。早急に対応してください。,C1,クレーム
4,注文してから一週間以上経つのに、まだ発送連絡が来ません。どうなっていますか。,C1,クレーム
5,サポートに問い合わせても返信がなく、不信感を抱いています。,C1,クレーム
6,定期購入を解約したはずなのに、今月も請求されています。至急確認してください。,C1,クレーム
7,説明と実物の色味が全然違います。返品したいのですが。,C1,クレーム
8,公式サイトが非常に重く、決済画面で何度も固まります。改善してください。,C1,クレーム
9,同じトラブルが何度も起きているのに、まったく改善されていないように感じます。,C1,クレーム
10,音が異常に大きく、近所から苦情が来ました。初期不良ではないですか。,C1,クレーム
11,チャットサポートの担当者の対応が冷たく、不快な思いをしました。,C1,クレーム
12,保証期間内なのに有償修理と言われました。納得できません。,C1,クレーム
13,説明書が不親切で、組み立てに非常に時間がかかりました。もっと分かりやすくすべきです。,C1,クレーム
14,キャンペーンの特典が同梱されていませんでした。きちんと対応してもらえますか。,C1,クレーム
15,アプリの通知が止まらず、業務に支障が出ています。早く修正してください。,C1,クレーム
16,配達指定時間を守ってもらえず、とても困りました。再発防止を求めます。,C1,クレーム
17,請求書の金額が見積もりより高くなっています。内訳を説明してください。,C1,クレーム
18,同じ商品が他社よりもかなり高く、価格設定に疑問があります。,C1,クレーム
19,マニュアル通りに操作してもエラーが出ます。検証してから販売すべきでは。,C1,クレーム
20,音声が途切れ途切れで会議に使えません。品質にがっかりしました。,C1,クレーム
21,問い合わせフォームからの連絡に対して、自動返信以外の返事がありません。,C1,クレーム
22,梱包が雑で、箱がボロボロの状態で届きました。がっかりです。,C1,クレーム
23,アップデート後に動作が極端に重くなりました。前のバージョンに戻せませんか。,C1,クレーム
24,広告でうたっている性能と実際の使用感が大きく異なるように感じます。,C1,クレーム
25,解約手続きが非常に分かりにくく、わざと複雑にしているのではと疑ってしまいます。,C1,クレーム
26,無料プランと有料プランの違いを詳しく教えていただけますか。,C2,質問
27,このサービスは法人利用でも契約可能でしょうか。,C2,質問
28,パスワードを忘れてしまったのですが、どのように再設定すればよいですか。,C2,質問
29,APIの利用上限は1日にどれくらいまでですか。,C2,質問
30,領収書の発行方法について教えてください。オンラインでダウンロードできますか。,C2,質問
31,推奨動作環境（OSやブラウザ）はどこかにまとまっていますか。,C2,質問
32,チームメンバーは最大何人まで登録できますか。,C2,質問
33,トライアル期間中に解約した場合、料金は発生しますか。,C2,質問
34,外部サービスとの連携機能は、どのプランから利用可能でしょうか。,C2,質問
35,データはどの地域のサーバーに保存されていますか。,C2,質問
36,個人情報の取り扱いについて、詳しいポリシーはどこで確認できますか。,C2,質問
37,モバイルアプリとWeb版で機能差はありますか。,C2,質問
38,支払い方法に口座振替は利用できますか。,C2,質問
39,組織内で権限を細かく設定することは可能でしょうか。,C2,質問
40,解約後、データはどのくらいの期間保持されますか。,C2,質問
41,月途中でプランを変更した場合、料金は日割りになりますか。,C2,質問
42,SSO（シングルサインオン）にはどのIdPが対応していますか。,C2,質問
43,ログの保存期間はどれくらいでしょうか。延長することはできますか。,C2,質問
44,日本語以外の言語にも対応していますか。,C2,質問
45,商用利用の際に、ロゴ表示の義務などはありますか。,C2,質問
46,バックアップはどの頻度で取得されていますか。,C2,質問
47,アカウントを複数の端末で同時に利用しても問題ありませんか。,C2,質問
48,教育機関向けの特別プランはありますか。,C2,質問
49,古いデータを一括でエクスポートする方法はありますか。,C2,質問
50,ログイン通知メールを停止することは可能でしょうか。,C2,質問
51,ダークモードに対応していただけると嬉しいです。検討いただけますか。,C3,要望
52,検索機能で、タグだけでなくコメントも対象にしてほしいです。,C3,要望
53,スマホアプリでもPC版と同じグラフ表示ができるようになると助かります。,C3,要望
54,通知の時間帯を細かく設定できる機能を追加してほしいです。,C3,要望
55,外部カレンダーとの連携機能を実装してもらえると非常に便利だと思います。,C3,要望
56,ダッシュボードをユーザーごとにカスタマイズできるようにしてほしいです。,C3,要望
57,定型文テンプレートを共有できる機能があると、チームで使いやすくなります。,C3,要望
58,キーボードショートカットの一覧を表示できるようにしてほしいです。,C3,要望
59,権限ごとに閲覧できる項目をより細かく制御できるようになると助かります。,C3,要望
60,日報のPDF出力に、会社ロゴを入れられるようにしてほしいです。,C3,要望
61,Webhookのイベント種類をもう少し増やしてもらえると嬉しいです。,C3,要望
62,プロジェクトごとに色分けできると、視認性が上がると思います。,C3,要望
63,コメントに絵文字リアクションを付けられる機能があると、コミュニケーションが活性化しそうです。,C3,要望
64,CSVインポート時に、項目マッピングを保存できるようにしてほしいです。,C3,要望
65,多要素認証に、認証アプリ以外の選択肢も追加してもらえると助かります。,C3,要望
66,レポートを自動でメール配信するスケジュール機能があると便利です。,C3,要望
67,ユーザーごとのアクティビティ履歴を簡単に確認できる画面が欲しいです。,C3,要望
68,エラー内容をもう少し具体的なメッセージで表示してもらえると助かります。,C3,要望
69,管理画面のレスポンスを改善していただけると作業効率が上がります。,C3,要望
70,チュートリアル動画をサービス内から直接見られるようにしてほしいです。,C3,要望
71,Webhookの再送機能があると、障害発生時に助かります。,C3,要望
72,プロジェクトごとにカスタム項目を追加できるようになると嬉しいです。,C3,要望
73,コメント欄での@メンション機能をぜひ追加してほしいです。,C3,要望
74,IPアドレス制限をもっと柔軟に設定できると助かります。,C3,要望
75,いつも素晴らしいサービスを提供していただき、ありがとうございます。とても助かっています。,C4,お礼・ポジティブ
76,不具合対応がとても迅速で、安心して利用を続けられています。感謝しています。,C4,お礼・ポジティブ
77,導入してから業務効率が大きく改善しました。チーム一同、とても満足しています。,C4,お礼・ポジティブ
78,分かりやすいUIで、初めてのメンバーでもすぐに使いこなせました。ありがとうございます。,C4,お礼・ポジティブ
79,リリースノートが丁寧で、アップデート内容を把握しやすく助かっています。,C4,お礼・ポジティブ
80,サポート担当の方の説明がとても親切で、安心して相談できました。,C4,お礼・ポジティブ
81,他社サービスから乗り換えて本当に良かったと感じています。素晴らしいプロダクトです。,C4,お礼・ポジティブ
82,トライアル期間中に丁寧にフォローいただき、導入の不安が解消されました。,C4,お礼・ポジティブ
83,小さな要望にも耳を傾けていただき、ユーザーを大切にしていると感じます。,C4,お礼・ポジティブ
84,マニュアルやヘルプページが充実していて、自己解決しやすい点を高く評価しています。,C4,お礼・ポジティブ
